agency_id,agency_name,agency_url,agency_timezone,agency_lang
INTERURBANO,Tren El Insurgente,https://trenelinsurgente.mx/,America/Mexico_City,es
PUMABUS,Pumabús,https://www.dgsgm.unam.mx/pumabus,America/Mexico_City,es
CC,Corredores Concesionados,https://datos.cdmx.gob.mx/dataset/?q=corredores+concesionados,America/Mexico_City,es
METRO,Sistema de Transporte Colectivo Metro,https://www.metro.cdmx.gob.mx/,America/Mexico_City,es
MB,Metrobús,https://www.metrobus.cdmx.gob.mx,America/Mexico_City,es
TL,Servicio de Tren Ligero,https://www.ste.cdmx.gob.mx/tren-ligero,America/Mexico_City,es
SUB,Ferrocarriles Suburbanos,http://www.fsuburbanos.com/,America/Mexico_City,es
TROLE,Trolebús,https://www.ste.cdmx.gob.mx/,America/Mexico_City,es
RTP,Red de Transporte de Pasajeros,https://www.rtp.cdmx.gob.mx,America/Mexico_City,es
CBB,Cablebus,https://www.ste.cdmx.gob.mx/cablebus,America/Mexico_City,es
