service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TR13_SERVICE,1,1,1,1,1,1,1,2026-01-01,2026-12-31
B_9,0,0,0,1,0,0,1,2024-12-01,2025-12-31
B_8,1,1,1,0,1,1,0,2024-12-01,2025-12-31
B_7,0,0,0,1,0,1,1,2024-12-01,2025-12-31
B_6,1,1,1,0,1,0,0,2024-12-01,2025-12-31
B_5,0,0,0,0,0,1,1,2024-12-01,2025-12-31
B_4,1,1,1,1,1,1,0,2024-12-01,2025-12-31
B_0,1,1,1,1,1,1,1,2024-12-01,2025-12-31
B_3,0,0,0,0,0,0,1,2024-12-01,2025-12-31
B_2,0,0,0,0,0,1,0,2024-12-01,2025-12-31
B_1,1,1,1,1,1,0,0,2024-12-01,2025-12-31
B_B,0,1,0,0,0,1,0,2024-12-01,2025-12-31
B_A,1,0,1,1,1,0,0,2024-12-01,2025-12-31
